customer_id,age,age_group,gender,item_purchased,category,purchase_amount_usd,loc,region,size,color,season,review_rating,subscription_status,shipping_type,discount_applied,previous_purchases,payment_method,frequency_of_purchases,purchase_frequency_days
1,55,Middle-aged,Male,Blouse,Clothing,53,Kentucky,South,L,Gray,Winter,3.1,Yes,Express,Yes,14,Venmo,Fortnightly,14
2,19,Young Adult,Male,Sweater,Clothing,64,Maine,Northeast,L,Maroon,Winter,3.1,Yes,Express,Yes,2,Cash,Fortnightly,14
3,50,Middle-aged,Male,Jeans,Clothing,73,Massachusetts,Northeast,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,23,Credit Card,Weekly,7
4,21,Young Adult,Male,Sandals,Footwear,90,Rhode Island,Northeast,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,49,PayPal,Weekly,7
5,45,Middle-aged,Male,Blouse,Clothing,49,Oregon,West,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,31,PayPal,Annually,365
6,46,Middle-aged,Male,Sneakers,Footwear,20,Wyoming,West,M,White,Summer,2.9,Yes,Standard,Yes,14,Venmo,Weekly,7
7,63,Senior,Male,Shirt,Clothing,85,Montana,West,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,49,Cash,Quarterly,90
8,27,Young Adult,Male,Shorts,Clothing,34,Louisiana,South,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,19,Credit Card,Weekly,7
9,26,Young Adult,Male,Coat,Outerwear,97,West Virginia,South,L,Silver,Summer,2.6,Yes,Express,Yes,8,Venmo,Annually,365
10,57,Middle-aged,Male,Handbag,Accessories,31,Missouri,Midwest,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,4,Cash,Quarterly,90
11,53,Middle-aged,Male,Shoes,Footwear,34,Arkansas,South,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,26,Bank Transfer,Bi-Weekly,14
12,30,Young Adult,Male,Shorts,Clothing,68,Hawaii,West,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,10,Bank Transfer,Fortnightly,14
13,61,Senior,Male,Coat,Outerwear,72,Delaware,South,M,Gold,Winter,4.5,Yes,Express,Yes,37,Venmo,Fortnightly,14
14,65,Senior,Male,Dress,Clothing,51,New Hampshire,Northeast,M,Violet,Spring,4.7,Yes,Express,Yes,31,PayPal,Weekly,7
15,64,Senior,Male,Coat,Outerwear,53,New York,Northeast,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,34,Debit Card,Weekly,7
16,64,Senior,Male,Skirt,Clothing,81,Rhode Island,Northeast,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,8,PayPal,Monthly,30
17,25,Young Adult,Male,Sunglasses,Accessories,36,Alabama,South,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,44,Debit Card,Bi-Weekly,14
18,53,Middle-aged,Male,Dress,Clothing,38,Mississippi,South,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,36,Venmo,Quarterly,90
19,52,Middle-aged,Male,Sweater,Clothing,48,Montana,West,S,Black,Summer,4.6,Yes,Free Shipping,Yes,17,Cash,Weekly,7
20,66,Senior,Male,Pants,Clothing,90,Rhode Island,Northeast,M,Green,Summer,3.3,Yes,Standard,Yes,46,Debit Card,Bi-Weekly,14
21,21,Young Adult,Male,Pants,Clothing,51,Louisiana,South,M,Black,Winter,2.8,Yes,Express,Yes,50,Cash,Every 3 Months,90
22,31,Young Adult,Male,Pants,Clothing,62,North Carolina,South,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,22,Debit Card,Quarterly,90
23,56,Middle-aged,Male,Pants,Clothing,37,California,West,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,32,Debit Card,Annually,365
24,31,Young Adult,Male,Pants,Clothing,88,Oklahoma,South,XL,White,Winter,4.4,Yes,Express,Yes,40,Credit Card,Weekly,7
25,18,Young Adult,Male,Jacket,Outerwear,22,Florida,South,M,Green,Fall,2.9,Yes,Store Pickup,Yes,16,Debit Card,Weekly,7
26,18,Young Adult,Male,Hoodie,Clothing,25,Texas,South,M,Silver,Summer,3.6,Yes,Express,Yes,14,PayPal,Annually,365
27,38,Adult,Male,Jewelry,Accessories,20,Nevada,West,M,Red,Spring,3.6,Yes,Next Day Air,Yes,13,Credit Card,Annually,365
28,56,Middle-aged,Male,Shorts,Clothing,56,Kentucky,South,L,Cyan,Summer,5,Yes,Next Day Air,Yes,7,Bank Transfer,Every 3 Months,90
29,54,Middle-aged,Male,Handbag,Accessories,94,North Carolina,South,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,41,PayPal,Every 3 Months,90
30,31,Young Adult,Male,Dress,Clothing,48,Wyoming,West,S,Black,Fall,4.1,Yes,Store Pickup,Yes,14,Credit Card,Weekly,7
31,57,Middle-aged,Male,Jewelry,Accessories,31,North Carolina,South,L,Black,Winter,4.7,Yes,Standard,Yes,16,Credit Card,Monthly,30
32,33,Adult,Male,Dress,Clothing,79,West Virginia,South,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,45,Venmo,Monthly,30
33,36,Adult,Male,Jacket,Outerwear,67,Kansas,Midwest,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,37,Venmo,Annually,365
34,54,Middle-aged,Male,Pants,Clothing,38,Colorado,West,L,Green,Summer,3.3,Yes,Store Pickup,Yes,45,Cash,Quarterly,90
